analysis_id,research_question,outcome,predictor,unit,language_source_group,n,multiple_testing_family,source_input_path,source_input_sha256,command,generated_at,caveat,analysis_type,test_name,group_a,group_b,group_a_n,group_b_n,group_a_score_mean,group_b_score_mean,group_a_score_median,group_b_score_median,group_a_event_count,group_b_event_count,group_a_event_pct,group_b_event_pct,statistic,p_value,p_value_bh_fdr,effect_size,effect_size_label,ci_95_lower,ci_95_upper,min_expected_count,sparse_cell_warning,details_json,status
WL-JP-1,Do Japanese-language Google reviews with friction evidence show lower oseti sentiment?,sentiment_score,any_friction,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",score_by_binary_predictor,mann_whitney_u_sentiment_score,any_friction=true,any_friction=false,263.0,1537.0,0.2427742567798971,0.4235473139858299,0.25,0.4444444444444444,,,,,153046.5,1.9773614322064413e-10,3.163778291530306e-10,-0.18077305720593279,mean_score_difference_true_minus_false; expected lower when true,,,,,"{""effect"": ""mean score for predictor=true minus predictor=false"", ""cliffs_delta_true_vs_false"": -0.24277702600740667, ""score_scale"": ""within-tool only""}",ok
WL-JP-1,Do Japanese-language Google reviews with friction evidence have lower positive sentiment prevalence?,sentiment_category=positive,any_friction,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",category_event_by_binary_predictor,chi_square_sentiment_event,any_friction=true,any_friction=false,263.0,1537.0,,,,,191.0,1112.0,0.726236,0.723487,0.0003061307780385167,0.9860404505629338,0.9860404505629338,0.002748428497566957,risk_difference_true_minus_false,,,72.61722222222222,False,"{""observed"": {""true"": {""true"": 191, ""false"": 1112}, ""false"": {""true"": 72, ""false"": 425}}, ""expected"": [[190.382778, 72.617222], [1112.617222, 424.382778]], ""event"": ""positive""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_enjoyment_evidence show higher oseti sentiment?,sentiment_score,any_enjoyment_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",score_by_binary_predictor,mann_whitney_u_sentiment_score,any_enjoyment_evidence=true,any_enjoyment_evidence=false,396.0,1404.0,0.526458679545477,0.3606582721006586,0.5,0.3333333333333333,,,,,342704.0,8.346515840047066e-13,1.6693031680094132e-12,0.1658004074448184,mean_score_difference_true_minus_false; expected higher when true,,,,,"{""effect"": ""mean score for predictor=true minus predictor=false"", ""cliffs_delta_true_vs_false"": 0.23278367722812168, ""score_scale"": ""within-tool only""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_enjoyment_evidence have higher positive sentiment prevalence?,sentiment_category=positive,any_enjoyment_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",category_event_by_binary_predictor,chi_square_sentiment_event,any_enjoyment_evidence=true,any_enjoyment_evidence=false,396.0,1404.0,,,,,361.0,942.0,0.911616,0.67094,88.31567511536812,5.579951896226057e-21,2.811506022574011e-20,0.24067599067599077,risk_difference_true_minus_false,,,109.34,False,"{""observed"": {""true"": {""true"": 361, ""false"": 942}, ""false"": {""true"": 35, ""false"": 462}}, ""expected"": [[286.66, 109.34], [1016.34, 387.66]], ""event"": ""positive""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_recommendation_evidence show higher oseti sentiment?,sentiment_score,any_recommendation_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",score_by_binary_predictor,mann_whitney_u_sentiment_score,any_recommendation_evidence=true,any_recommendation_evidence=false,91.0,1709.0,0.4504309437708917,0.39429645128506874,0.4102564102564102,0.375,,,,,84080.5,0.18636252666531028,0.21298574476035462,0.05613449248582297,mean_score_difference_true_minus_false; expected higher when true,,,,,"{""effect"": ""mean score for predictor=true minus predictor=false"", ""cliffs_delta_true_vs_false"": 0.08128910293919071, ""score_scale"": ""within-tool only""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_recommendation_evidence have higher positive sentiment prevalence?,sentiment_category=positive,any_recommendation_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",category_event_by_binary_predictor,chi_square_sentiment_event,any_recommendation_evidence=true,any_recommendation_evidence=false,91.0,1709.0,,,,,83.0,1220.0,0.912088,0.713868,16.00717204982176,6.310298096105106e-05,8.413730794806807e-05,0.1982201531645651,risk_difference_true_minus_false,,,25.12611111111111,False,"{""observed"": {""true"": {""true"": 83, ""false"": 1220}, ""false"": {""true"": 8, ""false"": 489}}, ""expected"": [[65.873889, 25.126111], [1237.126111, 471.873889]], ""event"": ""positive""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_positive_evidence show higher oseti sentiment?,sentiment_score,any_positive_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",score_by_binary_predictor,mann_whitney_u_sentiment_score,any_positive_evidence=true,any_positive_evidence=false,366.0,1434.0,0.5475897546911924,0.3587336129095935,0.5,0.3333333333333333,,,,,332367.5,1.7182263446008135e-15,4.581936918935503e-15,0.18885614178159893,mean_score_difference_true_minus_false; expected higher when true,,,,,"{""effect"": ""mean score for predictor=true minus predictor=false"", ""cliffs_delta_true_vs_false"": 0.2665382475554641, ""score_scale"": ""within-tool only""}",ok
WL-JP-2,Do Japanese-language Google reviews with any_positive_evidence have higher positive sentiment prevalence?,sentiment_category=positive,any_positive_evidence,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_evidence_predictors,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",category_event_by_binary_predictor,chi_square_sentiment_event,any_positive_evidence=true,any_positive_evidence=false,366.0,1434.0,,,,,337.0,966.0,0.920765,0.67364,87.8590852519977,7.028765056435027e-21,2.811506022574011e-20,0.24712485995838762,risk_difference_true_minus_false,,,101.05666666666667,False,"{""observed"": {""true"": {""true"": 337, ""false"": 966}, ""false"": {""true"": 29, ""false"": 468}}, ""expected"": [[264.943333, 101.056667], [1038.056667, 395.943333]], ""event"": ""positive""}",ok
WL-JP-3,Does Japanese-language text sentiment track Google star rating?,sentiment_score,review_rating,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,rating_validity_global,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",association,spearman_score_rating,,,,,,,,,,,,,0.19787321882202574,2.3888948473903105e-17,,0.19787321882202574,spearman_rho,,,,,"{""interpretation"": ""within-language convergent validity check""}",ok
WL-JP-4,Do Japanese-language POI categories differ in oseti sentiment?,sentiment_score,poi_category,one Japanese-language Fukui Google review row,Japanese-language Fukui Google reviews,1800,japanese_poi_category_global,/home/andrewgreen/Repositories/andrew-verde/hokuriku-tourist-sentiment-analysis/output/sentiment_row_level/google_reviews_fukui_japanese-english.csv,72df51c468c6e829c9b121b9c71233e98a3ebc2a9c424d5eda63b83e1883eeed,scripts/test_jp_within_language_sentiment_drivers.py,2026-06-23T10:43:52+00:00,"Group labels describe content language/source, not author or reviewer nationality.; Raw sentiment scores are interpreted only within one tool, language, and source.; Outputs are aggregate-only and omit row-level text, author fields, URLs, source IDs, review IDs, place IDs, and POI IDs.; Japanese sentiment_score is oseti document score and is interpreted within Japanese only; it is not compared as a raw scale to VADER or SnowNLP.; Google review rows are nested in POIs; row-level p-values are descriptive without a clustered model.",score_by_multicategory_predictor,kruskal_wallis_score_by_group,,,,,,,,,,,,,40.08602689632625,1.4348872985285928e-07,,0.019557428593269928,epsilon_squared,,,,,"{""group_counts"": {""museum_cultural"": 567, ""castle_historic"": 485, ""temple_shrine"": 352, ""nature_scenic"": 335, ""market_shopping"": 50, ""food_dining"": 11}, ""min_group_n"": 3}",ok
